Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4878094377,mdturner3883,0,163.96,DST Cardinals  FLEX Tyler Warren QB Baker Mayfield RB Omarion Hampton RB Javonte Williams TE Dallas Goedert WR Emeka Egbuka WR Courtland Sutton WR Quentin Johnston,,Quentin Johnston,WR,50.00%,7.9
2,4881153010,Raydiddy1,0,163.08,DST Eagles  FLEX Javonte Williams QB Dak Prescott RB Woody Marks RB Rachaad White TE Tyler Warren WR Jaxon Smith-Njigba WR George Pickens WR Garrett Wilson,,Justin Fields,QB,41.67%,25.92
3,4887669255,packfan1983,0,158.74,DST Giants  FLEX David Montgomery QB Justin Fields RB De'Von Achane RB Breece Hall TE Tyler Warren WR Nico Collins WR Garrett Wilson WR Jaylen Waddle,,De'Von Achane,RB,41.67%,16.6
4,4883568620,sharple2,0,155.02,DST Saints  FLEX Jahmyr Gibbs QB Justin Fields RB De'Von Achane RB Breece Hall TE Tyler Warren WR Garrett Wilson WR Quentin Johnston WR Michael Pittman Jr.,,Garrett Wilson,WR,41.67%,19.1
5,4884247154,Nia8888,0,154.32,DST Lions  FLEX De'Von Achane QB Jared Goff RB Breece Hall RB Rico Dowdle TE Tommy Tremble WR Amon-Ra St. Brown WR Garrett Wilson WR Quentin Johnston,,Jahmyr Gibbs,RB,33.33%,16.7
6,4878060561,davism54,0,152.52,DST Texans  FLEX Nico Collins QB Justin Fields RB Omarion Hampton RB Breece Hall TE Jake Ferguson WR Ja'Marr Chase WR Jakobi Meyers WR Jameson Williams,,Breece Hall,RB,33.33%,21.5
7,4887296870,emorej15,0,139.98,DST Dolphins  FLEX Woody Marks QB Dak Prescott RB Jahmyr Gibbs RB Javonte Williams TE Cade Otton WR George Pickens WR Garrett Wilson WR Keenan Allen,,Woody Marks,RB,33.33%,2.4
8,4881287810,Slam4life,0,138.84,DST Eagles  FLEX Jameson Williams QB Sam Darnold RB Jahmyr Gibbs RB Derrick Henry TE Jake Ferguson WR Emeka Egbuka WR Quentin Johnston WR Tre Tucker,,Nico Collins,WR,33.33%,16
9,4885368474,dominodwb,0,135.42,DST Giants  FLEX Jonathan Taylor QB Justin Fields RB De'Von Achane RB Derrick Henry TE Tommy Tremble WR Deebo Samuel Sr. WR Marvin Harrison Jr. WR Cooper Kupp,,Tyler Warren,TE,33.33%,14.4
10,4878060037,cdubb823,0,129.84,DST Lions  FLEX David Montgomery QB Justin Fields RB Jahmyr Gibbs RB Woody Marks TE Jake Ferguson WR Amon-Ra St. Brown WR Quentin Johnston WR Elic Ayomanor,,Derrick Henry,RB,25.00%,9.3
11,4887644094,blade315,0,128.34,DST Texans  FLEX Omarion Hampton QB Justin Herbert RB De'Von Achane RB Derrick Henry TE Darren Waller WR Nico Collins WR Jaylen Waddle WR Jameson Williams,,Omarion Hampton,RB,25.00%,13
12,4886390978,O-N-E,0,121.84,DST Giants  FLEX Woody Marks QB Jared Goff RB Cam Skattebo RB David Montgomery TE Darren Waller WR Amon-Ra St. Brown WR Nico Collins WR Quentin Johnston,,Javonte Williams,RB,25.00%,29.9
,,,,,,,David Montgomery,RB,25.00%,18.22
,,,,,,,Amon-Ra St. Brown,WR,25.00%,21
,,,,,,,Jameson Williams,WR,25.00%,2
,,,,,,,Jake Ferguson,TE,25.00%,23.9
,,,,,,,Giants,DST,25.00%,1
,,,,,,,Jared Goff,QB,16.67%,21.12
,,,,,,,Dak Prescott,QB,16.67%,28.28
,,,,,,,Emeka Egbuka,WR,16.67%,34.3
,,,,,,,George Pickens,WR,16.67%,13.7
,,,,,,,Jaylen Waddle,WR,16.67%,26
,,,,,,,Darren Waller,TE,16.67%,18.8
,,,,,,,Tommy Tremble,TE,16.67%,1.7
,,,,,,,Lions,DST,16.67%,10
,,,,,,,Eagles,DST,16.67%,2
,,,,,,,Texans,DST,16.67%,11
,,,,,,,Baker Mayfield,QB,8.33%,29.66
,,,,,,,Justin Herbert,QB,8.33%,15.64
,,,,,,,Sam Darnold,QB,8.33%,31.64
,,,,,,,Jonathan Taylor,FLEX,8.33%,31.6
,,,,,,,Cam Skattebo,RB,8.33%,15.4
,,,,,,,Rachaad White,RB,8.33%,23.1
,,,,,,,Rico Dowdle,RB,8.33%,35.4
,,,,,,,Ja'Marr Chase,WR,8.33%,32
,,,,,,,Jaxon Smith-Njigba,WR,8.33%,30.2
,,,,,,,Deebo Samuel Sr.,WR,8.33%,23.6
,,,,,,,Courtland Sutton,WR,8.33%,17.9
,,,,,,,Keenan Allen,WR,8.33%,10.8
,,,,,,,Jakobi Meyers,WR,8.33%,7.2
,,,,,,,Marvin Harrison Jr.,WR,8.33%,13.8
,,,,,,,Michael Pittman Jr.,WR,8.33%,14.9
,,,,,,,Tre Tucker,WR,8.33%,11.1
,,,,,,,Cooper Kupp,WR,8.33%,11.9
,,,,,,,Elic Ayomanor,WR,8.33%,3.8
,,,,,,,Dallas Goedert,TE,8.33%,10.9
,,,,,,,Cade Otton,TE,8.33%,12.1
,,,,,,,Cardinals,DST,8.33%,6
,,,,,,,Dolphins,DST,8.33%,7
,,,,,,,Saints,DST,8.33%,18
